Letter,fr,esp,ita,lat,ru,prt
a,0.0764584409809178,0.13321976077540884,0.11432129446003363,0.0974534076996327,0.13494270021021224,0.13735193547921687
b,0.010251350733383863,0.014246841882783775,0.008245352731581676,0.014006257652020133,0.006035125788295925,0.009536725772243944
c,0.029121109608795926,0.036119472100023156,0.04221148808593161,0.039779621820160524,0.04597545263443412,0.03215939749823261
d,0.037157995747507826,0.04894948924211559,0.038160128809635485,0.025408787920010882,0.033905201057842276,0.053498001760182365
e,0.17534058645503828,0.12532207803794201,0.1213377988803217,0.12058495442796899,0.12158405099342239,0.12113517334910764
f,0.01309594752979175,0.006036905416858728,0.013226577136289702,0.010733233573663447,0.01030718112158405,0.010597163509399663
g,0.01126496338931908,0.013524622374785192,0.02435478606244634,0.013203645762481295,0.011256526751203635,0.013432211337305766
h,0.009657226086032849,0.00949293818013429,0.008996925136256785,0.008831451503196844,0.0042720553332881266,0.010380747644674006
i,0.061023802793826146,0.052860095460425555,0.10890942455337672,0.09788600190450279,0.12748355597748695,0.06094992136890248
j,0.0042921004826812666,0.0050725299561782695,0,0,0.0010849664338509527,0.0030442498304742395
k,3.6007554384909956e-06,1.274505014115143e-05,5.485929961132186e-06,2.7207182696231806e-05,6.781040211568454e-05,2.1641586472565683e-05
l,0.06252531781167689,0.0633174091012403,0.06690914477094871,0.03291797034417086,0.05479080490947311,0.028170131725122997
m,0.02647635473922429,0.026594671294535986,0.02701546209359545,0.05157665623724663,0.025089848782803282,0.044848581033313614
n,0.0683819465323825,0.06646756066112823,0.06575435651413039,0.06051149503468916,0.06482674442259442,0.05243756402302665
o,0.05385649909350982,0.09653313394410445,0.09208956329254545,0.04990885593796762,0.04848443751271445,0.11721083233541574
p,0.026305318855895966,0.0238183745387885,0.02728975859165206,0.026529723847095635,0.032142130602834475,0.0268860642610841
q,0.007275326363471057,0.007770232236055322,0.004981224404708025,0.018155353013195482,0,0.007668335473445773
r,0.07248680773226222,0.06793324142736065,0.07157218523791106,0.07034961229764658,0.06909879975588255,0.07025580355210573
s,0.09700255113522817,0.0860333368028192,0.047612386132666246,0.07558155353013195,0.05099342239099478,0.09624013504349958
t,0.0654851387821165,0.0403232144715796,0.060043503424591776,0.08315875391103252,0.0749983047399471,0.04531026821139501
u,0.06527449458896477,0.043207844153526874,0.033343482303761426,0.08130594476941913,0.0605546890893063,0.03692776038435457
v,0.01542743667621467,0.01133034957548362,0.019036176965128687,0.01523602230988981,0.013019597206211432,0.016707304756820706
w,1.0802266315472986e-05,2.549010028230286e-05,4.388743968905749e-05,0,0,7.213862157521894e-06
x,0.006744214936293635,0.0005395404559754106,3.565854474735921e-05,0.004815671337233029,0.0006781040211568455,0.0020920200256813494
y,0.0033631055795505897,0.01657706188359096,2.742964980566093e-06,0.001942592844510951,0.0001356208042313691,2.1641586472565683e-05
z,0.0011270364522476815,0.004671060876731999,0.004501205533108959,9.522513943681132e-05,0.008272869058113514,0.0031091745898919362
